Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-06,204.29,208.84,203.5,208.48,50.8881,129772436
2019-05-07,205.88,207.4175,200.825,202.86,49.5163,155054796
2019-05-08,201.9,205.34,201.75,202.9,49.5261,105358000
2019-05-09,200.4,201.68,196.66,200.72,48.9939,139634436
2019-05-10,197.419,198.85,192.77,197.18,48.3152,164834844
2019-05-13,187.71,189.48,182.85,185.72,45.5071,229722484
2019-05-14,186.41,189.7,185.41,188.66,46.2275,146118720
2019-05-15,186.27,191.75,186.02,190.92,46.7813,106178884
2019-05-16,189.91,192.4689,188.84,190.08,46.5755,132125436
2019-05-17,186.93,190.9,186.76,189,46.3108,131516360
2019-05-20,183.52,184.349,180.2839,183.09,44.8627,154449156
2019-05-21,185.22,188,184.7,186.6,45.7228,113459400
2019-05-22,184.66,185.71,182.55,182.78,44.7868,118994244
2019-05-23,179.8,180.54,177.81,179.66,44.0223,146118952
2019-05-24,180.2,182.14,178.62,178.97,43.8532,94858756
2019-05-28,178.92,180.59,177.91,178.23,43.6719,111792640
2019-05-29,176.42,179.35,176,177.38,43.4636,113924680
2019-05-30,177.95,179.23,176.67,178.3,43.689,84873640
2019-05-31,176.23,177.99,174.99,175.07,42.8976,108174320
2019-06-03,175.6,177.92,170.27,173.3,42.4639,161584280
2019-06-04,175.44,179.83,174.52,179.64,44.0174,123871844
2019-06-05,184.28,184.99,181.14,182.54,44.7279,119093720
2019-06-06,183.08,185.47,182.1489,185.22,45.3846,90105244
2019-06-07,186.51,191.92,185.77,190.15,46.5926,122737564
2019-06-10,191.81,195.37,191.62,192.58,47.1881,104883400
2019-06-11,194.86,196,193.6,194.81,47.7345,107731524
2019-06-12,193.95,195.97,193.385,194.19,47.5826,73012756
2019-06-13,194.7,196.79,193.6,194.15,47.5728,86698524
2019-06-14,191.545,193.5863,190.3,192.74,47.2273,75045884
2019-06-17,192.9,194.96,192.17,193.89,47.509,58676560
2019-06-18,196.05,200.29,195.21,198.45,48.6264,106204000
2019-06-19,199.68,199.88,197.31,197.87,48.4843,84496960
2019-06-20,200.37,200.61,198.03,199.46,48.8739,86055960
2019-06-21,198.8,200.85,198.15,198.78,48.7072,191202376
2019-06-24,198.54,200.16,198.17,198.58,48.6582,72881680
2019-06-25,198.43,199.26,195.29,195.57,47.9207,84281320
2019-06-26,197.77,200.99,197.35,199.8,48.9572,104270040
2019-06-27,200.29,201.57,199.57,199.74,48.9425,83598884
2019-06-28,198.68,199.495,197.05,197.92,48.4965,124442564
2019-07-01,203.17,204.49,200.65,201.55,49.386,109266960
2019-07-02,201.41,203.1323,201.36,202.73,49.6751,67740884
2019-07-03,203.28,204.44,202.6901,204.41,50.0868,45448200
2019-07-05,203.35,205.08,202.9,204.23,50.0427,69062080
2019-07-08,200.81,201.4,198.41,200.02,49.0111,101354524
2019-07-09,199.2,201.51,198.81,201.24,49.31,82312080
2019-07-10,201.85,203.73,201.56,203.23,49.7976,71588564
2019-07-11,203.31,204.39,201.71,201.75,49.435,80767360
2019-07-12,202.45,204,202.2,203.3,49.8148,70380844
2019-07-15,204.09,205.87,204,205.21,50.2828,67789680
2019-07-16,204.59,206.11,203.5,204.5,50.1088,67467280
2019-07-17,204.05,205.0915,203.27,203.35,49.827,56429800
2019-07-18,204,205.88,203.7,205.66,50.3931,74328640
2019-07-19,205.79,206.5,202.36,202.59,49.6408,83717244
2019-07-22,203.65,207.23,203.61,207.22,50.7753,89111720
2019-07-23,208.46,208.91,207.29,208.84,51.1723,73420844
2019-07-24,207.67,209.15,207.17,208.67,51.1306,59966280
2019-07-25,208.89,209.24,206.73,207.02,50.7263,55638240
2019-07-26,207.48,209.73,207.14,207.74,50.9027,70475476
2019-07-29,208.46,210.64,208.44,209.68,51.3781,86693564
2019-07-30,208.76,210.16,207.31,208.78,51.1576,135742876
2019-07-31,216.42,221.37,211.3,213.04,52.2014,277125436
2019-08-01,213.9,218.03,206.7435,208.43,51.0718,216071688
2019-08-02,205.53,206.43,201.63,204.02,49.9912,163448484
2019-08-05,197.99,198.649,192.58,193.34,47.3743,209571876
2019-08-06,196.31,198.067,194.04,197,48.2711,143299172
2019-08-07,195.41,199.56,193.82,199.04,48.771,133457592
2019-08-08,200.2,203.53,199.39,203.43,49.8466,108038080
2019-08-09,201.3,202.76,199.29,200.99,49.4359,98479000
2019-08-12,199.62,202.0516,199.15,200.48,49.3104,89927564
2019-08-13,201.02,212.14,200.83,208.97,51.3987,190159172
2019-08-14,203.16,206.44,202.5869,202.75,49.8688,146189764
2019-08-15,203.46,205.14,199.67,201.74,49.6204,111533436
2019-08-16,204.28,207.16,203.84,206.5,50.7911,115254476
2019-08-19,210.62,212.7307,210.025,210.35,51.7381,97727680
2019-08-20,210.88,213.35,210.32,210.36,51.7405,107678116
2019-08-21,212.99,213.65,211.6032,212.64,52.3013,86259000
2019-08-22,213.19,214.435,210.75,212.46,52.2571,89071280
2019-08-23,209.43,212.051,201,202.64,49.8417,187531360
2019-08-26,205.86,207.19,205.0573,206.49,50.7887,104264524
2019-08-27,207.86,208.55,203.53,204.16,50.2156,103589360
2019-08-28,204.1,205.72,203.32,205.53,50.5526,63830520
2019-08-29,208.5,209.32,206.655,209.01,51.4085,84030600
2019-08-30,210.16,210.45,207.2,208.74,51.3421,84650244
2019-09-03,206.43,206.98,204.22,205.7,50.5944,80238280
2019-09-04,208.39,209.48,207.32,209.19,51.4528,76867280
2019-09-05,212,213.97,211.51,213.28,52.4588,95787524
2019-09-06,214.05,214.42,212.51,213.26,52.4538,77449156
2019-09-09,214.84,216.44,211.07,214.17,52.6777,109237600
2019-09-10,213.86,216.78,211.71,216.7,53.2999,127111720
2019-09-11,218.07,223.71,217.73,223.59,54.9946,177158592
2019-09-12,224.8,226.42,222.86,223.085,54.8704,128906680
2019-09-13,220,220.79,217.02,218.75,53.8042,159053204
2019-09-16,217.73,220.13,217.56,219.9,54.087,84632564
2019-09-17,219.96,220.82,219.12,220.7,54.2838,73545884
2019-09-18,221.06,222.85,219.44,222.77,54.7929,102572360
2019-09-19,222.01,223.76,220.37,220.96,54.3477,88751524
2019-09-20,221.38,222.56,217.473,217.73,53.5533,231908360
2019-09-23,218.95,219.84,217.65,218.72,53.7968,77678600
2019-09-24,221.03,222.49,217.19,217.68,53.541,125737476
2019-09-25,218.55,221.5,217.1402,221.03,54.365,89924040
2019-09-26,220,220.94,218.83,219.89,54.0846,76353244
2019-09-27,220.54,220.96,217.2814,218.82,53.8214,101445156
2019-09-30,220.9,224.58,220.79,223.97,55.0881,105274320
2019-10-01,225.07,228.22,224.2,224.59,55.2406,144748640
2019-10-02,223.06,223.58,217.93,218.96,53.8558,143069048
2019-10-03,218.43,220.96,215.132,220.82,54.3133,121410756
2019-10-04,225.64,227.49,223.89,227.01,55.8358,139022204
2019-10-07,226.27,229.93,225.84,227.06,55.8481,123557080
2019-10-08,225.82,228.06,224.33,224.4,55.1939,117130796
2019-10-09,227.03,227.79,225.64,227.03,55.8407,76117680
2019-10-10,227.93,230.44,227.3,230.09,56.5934,115851920
2019-10-11,232.95,237.64,232.3075,236.21,58.0987,167960828
2019-10-14,234.9,238.1342,234.6701,235.87,58.015,97653920
2019-10-15,236.39,237.65,234.88,235.32,57.8798,92161920
2019-10-16,233.37,235.24,233.2,234.37,57.6461,77146756
2019-10-17,235.09,236.15,233.52,235.28,57.8699,69091600
2019-10-18,234.59,237.58,234.29,236.41,58.1479,97508680
2019-10-21,237.52,240.99,237.32,240.51,59.1563,89469920
2019-10-22,241.16,242.2,239.6218,239.96,59.021,90736000
2019-10-23,242.1,243.24,241.22,243.18,59.813,79730204
2019-10-24,244.51,244.8,241.805,243.58,59.9114,71665040
2019-10-25,243.16,246.73,242.88,246.58,60.6493,73477204
2019-10-28,247.42,249.25,246.72,249.05,61.2568,96572960
2019-10-29,248.97,249.75,242.57,243.29,59.8401,142839484
2019-10-30,244.76,245.3,241.21,243.26,59.8327,124522080
2019-10-31,247.24,249.17,237.26,248.76,61.1855,139162080
2019-11-01,249.54,255.93,249.16,255.82,62.922,151125312
2019-11-04,257.33,257.845,255.38,257.5,63.3352,103271796
2019-11-05,257.05,258.19,256.32,257.13,63.2442,79897720
2019-11-06,256.77,257.49,255.365,257.24,63.2712,75864476
2019-11-07,258.74,260.35,258.11,259.43,64.0015,94940320
2019-11-08,258.69,260.44,256.85,260.14,64.1766,70082000
2019-11-11,258.3,262.47,258.28,262.2,64.6848,82029844
2019-11-12,261.55,262.79,260.92,261.96,64.6256,87388920
2019-11-13,261.13,264.78,261.07,264.47,65.2448,103270360
2019-11-14,263.75,264.88,262.1,262.64,64.7934,89582244
2019-11-15,263.68,265.78,263.01,265.76,65.5631,100374680
2019-11-18,265.8,267.43,264.23,267.1,65.8937,86803600
2019-11-19,267.9,268,265.3926,266.29,65.6938,76278400
2019-11-20,265.54,266.083,260.4,263.19,64.9291,106439680
2019-11-21,263.69,264.005,261.18,262.01,64.638,121395116
2019-11-22,262.59,263.18,260.84,261.78,64.5812,65325040
2019-11-25,262.71,266.44,262.52,266.37,65.7136,84118080
2019-11-26,266.94,267.16,262.5,264.29,65.2004,105339524
2019-11-27,265.58,267.98,265.31,267.84,66.0762,65544476
2019-11-29,266.6,268,265.9,267.25,65.9307,46617440
2019-12-02,267.27,268.25,263.45,264.16,65.1684,94774204
2019-12-03,258.31,259.53,256.29,259.45,64.0064,117509080
2019-12-04,261.07,263.31,260.68,261.74,64.5714,67241564
2019-12-05,263.79,265.89,262.73,265.58,65.5187,74645360
2019-12-06,267.48,271,267.3,270.71,66.7843,106189960
2019-12-09,270,270.8,264.91,266.92,65.8493,128730600
2019-12-10,268.6,270.07,265.86,268.48,66.2341,90529524
2019-12-11,268.81,271.1,268.5,270.77,66.7991,78893564
2019-12-12,267.78,272.5599,267.321,271.46,66.9693,137748156
2019-12-13,271.46,275.3,270.93,275.15,67.8796,131677592
2019-12-16,277,280.79,276.98,279.86,69.0416,128324436
2019-12-17,279.57,281.77,278.8,280.41,69.1772,114303204
2019-12-18,279.8,281.9,279.12,279.74,69.012,116098756
2019-12-19,279.5,281.18,278.95,280.02,69.081,98507796
2019-12-20,282.23,282.65,278.56,279.44,68.9379,276130936
2019-12-23,280.53,284.25,280.3735,284,70.0629,98711524
2019-12-24,284.69,284.89,282.9197,284.27,70.1295,48478840
2019-12-26,284.82,289.98,284.7,289.91,71.5209,93336000
